OAcode,postcode,WARD_NAME,borough,All,Commercial building,date,Detached,Flat,Householdnoresidents,Householdwithresident,MobileBuilding,Semi-detached,Shared,Sharedhouse,Terraced,Unshared
E00000007,EC1A 4ER,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC1A 4EU,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC1A 4HD,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC1A 4HJ,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00166756,EC1A 4JP,Aldersgate,City of London,190,14,2011,0,174,32,158,0,0,0,2,0,190
E00166756,EC1A 4JR,Aldersgate,City of London,190,14,2011,0,174,32,158,0,0,0,2,0,190
E00000005,EC1A 4LA,Aldersgate,City of London,241,2,2011,0,239,24,217,0,0,0,0,0,241
E00166756,EC1A 4LX,Aldersgate,City of London,190,14,2011,0,174,32,158,0,0,0,2,0,190
E00000007,EC1A 7BT,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC1A 7BX,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC1A 7DH,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2V 7BX,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2V 7JU,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2V 7JX,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5AB,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5AD,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5BD,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5DN,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5EA,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5EB,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5HN,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 5JU,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000007,EC2Y 8AA,Aldersgate,City of London,103,4,2011,0,92,20,83,0,2,0,5,0,103
E00000013,EC2Y 8AD,Aldersgate,City of London,120,1,2011,0,118,24,96,0,0,0,0,1,120
E00000013,EC2Y 8AF,Aldersgate,City of London,120,1,2011,0,118,24,96,0,0,0,0,1,120
E00166759,EC2Y 8AG,Aldersgate,City of London,205,0,2011,0,205,31,174,0,0,0,0,0,205
E00166759,EC2Y 8AH,Aldersgate,City of London,205,0,2011,0,205,31,174,0,0,0,0,0,205
E00166758,EC2Y 8BP,Aldersgate,City of London,238,0,2011,0,234,31,207,0,0,0,4,0,238
E00166758,EC2Y 8BT,Aldersgate,City of London,238,0,2011,0,234,31,207,0,0,0,4,0,238
E00166758,EC2Y 8BU,Aldersgate,City of London,238,0,2011,0,234,31,207,0,0,0,4,0,238
E00000005,EC2Y 8BX,Aldersgate,City of London,241,2,2011,0,239,24,217,0,0,0,0,0,241
